Especie,Breed,Age (Years),Weight (kg),Gender
Cachorro,Bull Terrier,11,34.6,Male
Cachorro,German Shepherd,5,22.8,Female
Cachorro,Miniature Schnauzer,8,6.4,Male
Cachorro,Dogo Argentino,7,39.9,Male
Cachorro,Great Dane,4,86.9,Male
Cachorro,Labrador Retriever,3,29.6,Female
Cachorro,Shetland Sheepdog,4,8.8,Male
Cachorro,Maltese,7,3.6,Female
Cachorro,Boxer,6,29.6,Male
Cachorro,Yorkshire Terrier,8,2.8,Male
Cachorro,Miniature Schnauzer,14,8.8,Male
Cachorro,Pembroke Welsh Corgi,12,11.6,Male
Cachorro,Great Dane,8,51.3,Female
Cachorro,Dogo Argentino,7,42.3,Male
Cachorro,Chinese Shar-Pei,7,19.5,Female
Cachorro,Doberman Pinscher,6,41.3,Male
Cachorro,Australian Shepherd,12,23.8,Male
Cachorro,French Bulldog,9,8.3,Female
Cachorro,West Highland White Terrier,6,7.9,Male
Cachorro,Maltese,4,3.6,Male
Cachorro,Shetland Sheepdog,8,8.8,Male
Cachorro,Great Dane,14,48.9,Female
Cachorro,Shetland Sheepdog,3,9.4,Female
Cachorro,Chihuahua,8,1.8,Female
Cachorro,Jack Russell Terrier,3,6.5,Female
Cachorro,German Shepherd,10,28.9,Male
Cachorro,Siberian Husky,6,22.4,Male
Cachorro,Pembroke Welsh Corgi,1,10.7,Female
Cachorro,Bernese Mountain Dog,3,46.9,Male
Cachorro,Bull Terrier,9,24.1,Female
Cachorro,Pembroke Welsh Corgi,2,12.3,Female
Cachorro,Border Collie,9,19.6,Male
Cachorro,Samoyed,3,21.8,Male
Cachorro,Akita,13,43.3,Male
Cachorro,German Shepherd,9,29.6,Male
Cachorro,Pug,7,6.8,Female
Cachorro,German Shepherd,14,29.7,Male
Cachorro,Pug,9,7.8,Male
Cachorro,Chesapeake Bay Retriever,13,30.4,Female
Cachorro,Chesapeake Bay Retriever,4,34.7,Male
Cachorro,Airedale Terrier,13,22.4,Female
Cachorro,Bloodhound,12,45.1,Female
Cachorro,Basenji,7,9.1,Female
Cachorro,Yorkshire Terrier,5,2.7,Male
Cachorro,Shih Tzu,1,4.7,Female
Cachorro,West Highland White Terrier,12,9.9,Male
Cachorro,Cocker Spaniel,7,11.1,Female
Cachorro,Whippet,7,18.0,Male
Cachorro,Shiba Inu,4,9.4,Male
Cachorro,Havanese,5,4.9,Female
Cachorro,Bulldog,9,22.7,Male
Cachorro,Schnauzer,7,18.0,Male
Cachorro,Pomeranian,1,3.5,Male
Cachorro,Labrador Retriever,1,27.7,Female
Cachorro,Vizsla,4,22.6,Female
Cachorro,Schnauzer,12,18.4,Male
Cachorro,Australian Shepherd,6,17.3,Female
Cachorro,Cocker Spaniel,14,10.1,Female
Cachorro,Australian Shepherd,8,23.6,Male
Cachorro,Chinese Shar-Pei,12,23.0,Male
Cachorro,Siberian Husky,1,22.2,Female
Cachorro,Samoyed,10,21.4,Female
Cachorro,Dachshund,10,8.9,Female
Cachorro,Papillon,12,3.7,Male
Cachorro,Belgian Malinois,12,23.0,Female
Cachorro,Pug,9,6.8,Female
Cachorro,Beagle,1,12.0,Female
Cachorro,Shetland Sheepdog,2,9.6,Female
Cachorro,Cavalier King Charles Spaniel,10,5.8,Female
Cachorro,French Bulldog,5,9.1,Female
Cachorro,Pug,1,7.3,Male
Cachorro,Labrador Retriever,3,29.1,Female
Cachorro,German Shepherd,5,27.4,Female
Cachorro,Whippet,9,14.4,Female
Cachorro,Shiba Inu,3,10.1,Male
Cachorro,Alaskan Malamute,3,35.9,Female
Cachorro,Miniature Schnauzer,12,5.9,Female
Cachorro,Miniature Schnauzer,8,6.0,Female
Cachorro,Pomeranian,7,1.6,Female
Cachorro,Australian Shepherd,4,17.7,Female
Cachorro,Australian Shepherd,11,29.1,Male
Cachorro,Great Dane,3,56.4,Female
Cachorro,Rottweiler,7,38.5,Female
Cachorro,Bichon Frise,6,7.1,Male
Cachorro,Maltese,5,3.5,Female
Cachorro,Maltese,11,3.5,Male
Cachorro,Siberian Husky,4,21.9,Female
Cachorro,Shih Tzu,12,5.9,Female
Cachorro,Miniature Schnauzer,4,8.0,Male
Cachorro,Chihuahua,10,2.2,Female
Cachorro,Chihuahua,13,1.6,Female
Cachorro,Boston Terrier,8,10.8,Male
Cachorro,Rottweiler,5,41.4,Female
Cachorro,Airedale Terrier,5,28.5,Male
Cachorro,Alaskan Malamute,6,40.5,Male
Cachorro,Dogo Argentino,10,35.0,Female
Cachorro,Bichon Frise,5,6.1,Male
Cachorro,Airedale Terrier,2,26.9,Male
Cachorro,Australian Shepherd,2,21.9,Female
Cachorro,Havanese,11,3.1,Female
Cachorro,Pembroke Welsh Corgi,8,13.3,Male
Cachorro,Shih Tzu,10,6.9,Male
Cachorro,Pekingese,1,5.4,Male
Cachorro,Schnauzer,1,15.8,Female
Cachorro,Irish Setter,14,26.8,Male
Cachorro,Miniature Schnauzer,6,8.4,Male
Cachorro,Bulldog,13,19.5,Female
Cachorro,Great Dane,8,70.7,Female
Cachorro,German Shepherd,1,26.4,Female
Cachorro,Rottweiler,6,44.2,Female
Cachorro,Rottweiler,14,48.1,Male
Cachorro,Havanese,3,3.3,Female
Cachorro,Pug,1,7.7,Male
Cachorro,Belgian Malinois,10,30.1,Male
Cachorro,Border Collie,8,14.8,Female
Cachorro,Lhasa Apso,14,6.9,Female
Cachorro,Golden Retriever,6,33.8,Male
Cachorro,Jack Russell Terrier,1,7.1,Female
Cachorro,Doberman Pinscher,4,35.5,Male
Cachorro,Boston Terrier,6,7.3,Female
Cachorro,Bloodhound,11,48.9,Male
Cachorro,Labrador Retriever,13,31.5,Male
Cachorro,Beagle,4,11.1,Male
Cachorro,Airedale Terrier,3,24.3,Female
Cachorro,Pomeranian,11,2.8,Male
Cachorro,Australian Shepherd,3,27.5,Male
Cachorro,Dachshund,1,12.1,Female
Cachorro,Akita,9,42.7,Female
Cachorro,Basenji,12,10.3,Male
Cachorro,Bloodhound,4,44.3,Male
Cachorro,Shetland Sheepdog,10,7.6,Female
Cachorro,Akita,10,43.5,Male
Cachorro,Dogo Argentino,10,40.2,Female
Cachorro,Shiba Inu,7,10.7,Male
Cachorro,West Highland White Terrier,11,8.1,Male
Cachorro,Airedale Terrier,5,21.0,Female
Cachorro,Saint Bernard,10,74.9,Female
Cachorro,Belgian Malinois,4,18.3,Female
Cachorro,Bull Terrier,5,33.0,Male
Cachorro,Bichon Frise,2,5.9,Female
Cachorro,Lhasa Apso,1,6.3,Female
Cachorro,Dachshund,14,7.8,Female
Cachorro,Bulldog,10,23.5,Male
Cachorro,Doberman Pinscher,2,31.4,Female
Cachorro,French Bulldog,11,11.8,Male
Cachorro,Vizsla,11,23.8,Male
Cachorro,Cavalier King Charles Spaniel,2,5.9,Female
Cachorro,Havanese,8,5.1,Male
Cachorro,Pekingese,3,3.5,Female
Cachorro,Bloodhound,8,42.2,Male
Cachorro,Cavalier King Charles Spaniel,1,5.4,Female
Cachorro,Pembroke Welsh Corgi,13,10.9,Female
Cachorro,Golden Retriever,13,28.7,Male
Cachorro,Pekingese,11,5.2,Female
Cachorro,Rottweiler,2,50.3,Male
Cachorro,Chinese Shar-Pei,9,24.3,Female
Cachorro,Papillon,1,3.8,Female
Cachorro,Boxer,12,25.4,Female
Cachorro,Havanese,11,5.3,Male
Cachorro,Labrador Retriever,12,31.2,Female
Cachorro,Lhasa Apso,11,7.3,Male
Cachorro,Doberman Pinscher,4,32.0,Female
Cachorro,Basenji,6,10.3,Male
Cachorro,Chinese Shar-Pei,2,18.3,Female
Cachorro,Shetland Sheepdog,11,10.2,Male
Cachorro,Cavalier King Charles Spaniel,13,8.0,Male
Cachorro,Border Collie,3,17.0,Female
Cachorro,Australian Shepherd,13,22.0,Male
Cachorro,Lhasa Apso,12,6.4,Female
Cachorro,Doberman Pinscher,12,36.8,Male
Cachorro,Dachshund,2,11.7,Female
Cachorro,Doberman Pinscher,5,33.8,Male
Cachorro,French Bulldog,8,11.0,Female
Cachorro,Bull Terrier,10,30.7,Female
Cachorro,Boxer,9,25.5,Female
Cachorro,Pekingese,5,4.4,Male
Cachorro,French Bulldog,11,12.5,Male
Cachorro,Rottweiler,5,37.5,Female
Cachorro,Pug,12,6.7,Female
Cachorro,Akita,7,48.1,Female
Cachorro,Bulldog,6,23.0,Male
Cachorro,Border Collie,14,16.9,Male
Cachorro,Weimaraner,2,34.6,Male
Cachorro,Beagle,1,9.2,Female
Cachorro,Shiba Inu,2,10.9,Male
Cachorro,Doberman Pinscher,1,36.9,Male
Cachorro,Dogo Argentino,14,36.2,Female
Cachorro,Vizsla,4,25.4,Male
Cachorro,Bichon Frise,6,7.9,Male
Cachorro,Chinese Shar-Pei,6,18.7,Female
Cachorro,Chihuahua,7,2.3,Female
Cachorro,Pomeranian,10,3.1,Male
Cachorro,Schnauzer,3,17.2,Female
Cachorro,Yorkshire Terrier,11,2.8,Female
Cachorro,Pekingese,10,6.1,Male
Cachorro,Great Dane,6,88.3,Male
Cachorro,Schnauzer,8,16.6,Male
Cachorro,Akita,6,46.0,Female
Cachorro,Doberman Pinscher,10,33.4,Female
Cachorro,Great Dane,9,60.9,Female
Cachorro,Jack Russell Terrier,2,7.2,Female
Cachorro,Pug,14,8.0,Male
Cachorro,Yorkshire Terrier,6,2.5,Female
Cachorro,Airedale Terrier,9,22.1,Female
Cachorro,Rottweiler,10,42.4,Female
Cachorro,Siberian Husky,14,18.8,Female
Cachorro,Shiba Inu,2,9.8,Male
Cachorro,Boston Terrier,5,6.5,Female
Cachorro,Alaskan Malamute,1,37.7,Male
Cachorro,Pembroke Welsh Corgi,12,10.2,Female
Cachorro,Pekingese,3,4.8,Female
Cachorro,Basenji,1,10.3,Male
Cachorro,Labrador Retriever,10,31.7,Female
Cachorro,Boston Terrier,14,7.4,Female
Cachorro,Samoyed,8,16.3,Female
Cachorro,Great Dane,11,65.4,Male
Cachorro,Shih Tzu,10,4.4,Female
Cachorro,Vizsla,4,26.3,Female
Cachorro,Jack Russell Terrier,9,7.0,Male
Cachorro,Bull Terrier,8,27.4,Female
Cachorro,Whippet,14,15.9,Female
Cachorro,Bulldog,8,22.4,Female
Cachorro,Irish Setter,14,25.2,Female
Cachorro,Siberian Husky,9,20.2,Male
Cachorro,Vizsla,2,24.5,Male
Cachorro,Lhasa Apso,10,5.1,Female
Cachorro,Bulldog,9,21.3,Male
Cachorro,Belgian Malinois,10,24.7,Female
Cachorro,Weimaraner,1,39.1,Male
Cachorro,Pug,13,6.7,Female
Cachorro,Miniature Schnauzer,12,8.0,Male
Cachorro,Vizsla,8,21.3,Female
Cachorro,Cavalier King Charles Spaniel,8,7.6,Male
Cachorro,Dogo Argentino,7,42.5,Male
Cachorro,Irish Setter,6,28.5,Female
Cachorro,Saint Bernard,9,76.6,Female
Cachorro,Lhasa Apso,6,5.7,Female
Cachorro,Labrador Retriever,12,25.6,Female
Cachorro,Rottweiler,12,47.4,Male
Cachorro,Boxer,5,27.0,Female
Cachorro,Whippet,1,18.7,Male
Cachorro,Chesapeake Bay Retriever,10,27.7,Female
Cachorro,Lhasa Apso,2,7.6,Male
Cachorro,Rottweiler,9,43.8,Female
Cachorro,Siberian Husky,1,17.3,Female
Cachorro,Beagle,4,11.8,Male
Cachorro,Chinese Shar-Pei,8,27.3,Male
Cachorro,Weimaraner,4,36.8,Male
Cachorro,Saint Bernard,8,64.9,Female
Cachorro,Bloodhound,6,43.0,Male
Cachorro,Weimaraner,11,37.3,Male
Cachorro,Cavalier King Charles Spaniel,4,5.3,Female
Cachorro,Whippet,9,15.9,Female
Cachorro,Cocker Spaniel,11,11.6,Male
Cachorro,Bloodhound,4,41.9,Male
Cachorro,Airedale Terrier,2,25.7,Male
Cachorro,Saint Bernard,4,66.8,Female
Cachorro,Chihuahua,12,2.5,Male
Cachorro,Pekingese,4,4.0,Female
Cachorro,Chinese Shar-Pei,12,30.0,Male
Cachorro,Doberman Pinscher,13,32.7,Female
Cachorro,French Bulldog,1,9.6,Female
Cachorro,Pekingese,8,5.2,Male
Cachorro,Bichon Frise,3,6.2,Male
Cachorro,French Bulldog,1,11.7,Male
Cachorro,Chesapeake Bay Retriever,7,30.5,Male
Cachorro,Dogo Argentino,7,39.1,Female
Cachorro,Chinese Shar-Pei,8,18.4,Female
Cachorro,Bichon Frise,8,8.0,Male
Cachorro,Weimaraner,12,29.6,Female
Cachorro,Shetland Sheepdog,2,9.5,Female
Cachorro,Bull Terrier,3,26.9,Female
Cachorro,West Highland White Terrier,14,6.2,Female
Cachorro,Dachshund,9,14.1,Male
Cachorro,Pekingese,6,5.7,Male
Cachorro,Rottweiler,2,56.5,Male
Cachorro,Pekingese,8,5.2,Male
Cachorro,Maltese,4,3.4,Female
Cachorro,Whippet,2,18.3,Male
Cachorro,Pug,7,6.8,Female
Cachorro,Labrador Retriever,9,31.3,Male
Cachorro,Weimaraner,3,31.5,Female
Cachorro,Akita,8,43.8,Female
Cachorro,Shih Tzu,9,6.0,Female
Cachorro,German Shepherd,10,26.3,Female
Cachorro,Golden Retriever,7,27.5,Female
Cachorro,Golden Retriever,10,29.8,Female
Cachorro,Cocker Spaniel,9,12.7,Male
Cachorro,Papillon,14,4.2,Male
Cachorro,Siberian Husky,6,23.1,Male
Cachorro,Cavalier King Charles Spaniel,1,6.5,Male
Cachorro,Bull Terrier,1,35.4,Male
Cachorro,Shetland Sheepdog,10,6.5,Female
Cachorro,Shih Tzu,5,5.5,Male
Cachorro,Rottweiler,7,53.9,Male
Cachorro,Border Collie,1,18.7,Male
Cachorro,Chinese Shar-Pei,12,29.2,Male
Cachorro,Siberian Husky,10,17.9,Female
Cachorro,Rottweiler,5,45.5,Male
Cachorro,Labrador Retriever,3,31.8,Female
Cachorro,German Shepherd,13,30.1,Male
Cachorro,Weimaraner,3,26.9,Female
Cachorro,Dachshund,5,8.5,Female
Cachorro,West Highland White Terrier,8,7.4,Female
Cachorro,Shiba Inu,2,10.8,Male
Cachorro,Great Dane,12,83.0,Male
Cachorro,Golden Retriever,10,32.3,Male
Cachorro,Great Dane,13,50.1,Female
Cachorro,German Shepherd,7,26.2,Female
Cachorro,Shih Tzu,5,5.0,Female
Cachorro,Cocker Spaniel,7,9.5,Female
Cachorro,Jack Russell Terrier,11,6.4,Female
Cachorro,Doberman Pinscher,9,30.6,Female
Cachorro,Weimaraner,7,26.2,Female
Cachorro,Rottweiler,10,52.7,Male
Cachorro,Dogo Argentino,3,39.6,Female
Cachorro,Beagle,8,9.2,Female
Cachorro,Boxer,13,29.6,Male
Cachorro,Australian Shepherd,5,24.1,Female
Cachorro,Miniature Schnauzer,1,8.3,Male
Cachorro,Pekingese,2,4.9,Female
Cachorro,Dogo Argentino,7,41.4,Male
Cachorro,West Highland White Terrier,5,9.5,Male
Cachorro,Miniature Schnauzer,12,7.0,Male
Cachorro,Golden Retriever,1,27.1,Female
Cachorro,Pekingese,1,4.6,Male
Cachorro,Doberman Pinscher,3,32.5,Female
Cachorro,Saint Bernard,11,63.9,Female
Cachorro,Cocker Spaniel,11,9.9,Female
Cachorro,Pug,8,7.7,Male
Cachorro,Havanese,7,3.6,Female
Cachorro,Siberian Husky,7,18.0,Female
Cachorro,Saint Bernard,13,58.0,Female
Cachorro,Samoyed,8,20.0,Female
Cachorro,Golden Retriever,14,26.8,Female
Cachorro,Boston Terrier,8,8.5,Male
Cachorro,French Bulldog,1,8.8,Female
Cachorro,Doberman Pinscher,10,35.9,Female
Cachorro,Airedale Terrier,12,28.5,Male
Cachorro,Bloodhound,13,45.4,Male
Cachorro,West Highland White Terrier,5,9.1,Male
Cachorro,Dachshund,2,14.3,Male
Cachorro,Vizsla,5,26.5,Female
Cachorro,West Highland White Terrier,10,7.6,Female
Cachorro,Basenji,6,10.9,Male
Cachorro,Jack Russell Terrier,10,7.2,Female
Cachorro,Bichon Frise,1,7.6,Male
Cachorro,Bulldog,7,20.1,Female
Cachorro,Chinese Shar-Pei,5,18.6,Female
Cachorro,Pomeranian,5,1.5,Female
Cachorro,Vizsla,12,26.6,Male
Cachorro,Saint Bernard,2,66.2,Female
Cachorro,Cavalier King Charles Spaniel,12,6.8,Male
Cachorro,Rottweiler,8,53.0,Male
Cachorro,Maltese,14,3.4,Female
Cachorro,Maltese,12,3.9,Male
Cachorro,Jack Russell Terrier,14,6.8,Male
Cachorro,Australian Shepherd,12,23.9,Male
Cachorro,Dachshund,11,11.1,Female
Cachorro,Cocker Spaniel,1,12.0,Female
Cachorro,Shih Tzu,2,7.2,Male
Cachorro,Bull Terrier,13,31.1,Female
Cachorro,Vizsla,3,29.3,Male
Cachorro,Bull Terrier,11,25.3,Female
Cachorro,Miniature Schnauzer,11,7.4,Male
Cachorro,Rottweiler,13,39.4,Female
Cachorro,Maltese,11,3.4,Female
Cachorro,Shiba Inu,11,10.9,Male
Cachorro,Airedale Terrier,13,21.2,Female
Cachorro,Bull Terrier,9,27.8,Female
Cachorro,Papillon,8,2.9,Female
Cachorro,Basenji,14,9.2,Female
Cachorro,Jack Russell Terrier,11,6.3,Female
Cachorro,Papillon,10,3.3,Male
Cachorro,Weimaraner,9,34.3,Female
Cachorro,West Highland White Terrier,13,7.0,Female
Cachorro,Pug,1,7.8,Male
Cachorro,Papillon,1,3.4,Female
Cachorro,Border Collie,12,13.0,Female
Cachorro,Basenji,13,9.2,Female
Cachorro,Pug,1,7.8,Male
Cachorro,Irish Setter,13,25.4,Female
Cachorro,Shiba Inu,14,10.8,Male
Cachorro,Cavalier King Charles Spaniel,3,6.3,Male
Cachorro,Boston Terrier,7,7.6,Female
Cachorro,Havanese,13,4.6,Female
Cachorro,Australian Shepherd,9,24.0,Male
Cachorro,Airedale Terrier,13,20.8,Female
Cachorro,Cocker Spaniel,4,14.4,Male
Cachorro,Akita,14,36.6,Female
Cachorro,Bichon Frise,8,6.9,Male
Cachorro,Samoyed,4,24.8,Male
Cachorro,Akita,4,36.4,Female
Cachorro,Doberman Pinscher,6,36.1,Female
Cachorro,Havanese,6,4.5,Female
Cachorro,Bichon Frise,14,6.8,Male
Cachorro,Shih Tzu,5,6.9,Male
Cachorro,Lhasa Apso,9,6.5,Male
Cachorro,Havanese,11,3.0,Female
Cachorro,Cavalier King Charles Spaniel,10,6.1,Female
Cachorro,Poodle,3,32.0,Male
Cachorro,Bull Terrier,14,28.0,Male
Cachorro,Chesapeake Bay Retriever,12,30.3,Male
Cachorro,Rottweiler,14,43.4,Female
Cachorro,Akita,9,55.7,Male
Cachorro,Great Dane,6,47.6,Female
Cachorro,Papillon,8,3.0,Female
Cachorro,German Shepherd,6,30.7,Female
Cachorro,Bulldog,5,22.1,Male
Cachorro,Shetland Sheepdog,5,6.7,Female
Cachorro,Yorkshire Terrier,8,2.2,Female
Cachorro,Whippet,9,13.1,Female
Cachorro,Chesapeake Bay Retriever,9,32.3,Male
Cachorro,Saint Bernard,6,86.9,Male
Cachorro,Lhasa Apso,7,6.3,Female
Cachorro,Saint Bernard,7,83.0,Male
Cachorro,Bernese Mountain Dog,4,51.8,Male
Cachorro,Poodle,12,23.2,Female
Cachorro,German Shepherd,7,26.7,Female
Cachorro,Saint Bernard,1,76.0,Female
Cachorro,Rottweiler,12,47.7,Male
Cachorro,German Shepherd,6,36.8,Male
Cachorro,German Shepherd,7,37.1,Male
Cachorro,Rottweiler,10,36.6,Female
Cachorro,Bernese Mountain Dog,6,45.1,Male
Cachorro,Weimaraner,5,32.2,Male
Cachorro,Shih Tzu,12,5.5,Male
Cachorro,Airedale Terrier,12,22.0,Female
Cachorro,Whippet,4,15.3,Male
Cachorro,Bichon Frise,1,6.6,Female
Cachorro,Shiba Inu,14,10.8,Male
Cachorro,Alaskan Malamute,6,41.8,Male
Cachorro,Cocker Spaniel,2,10.0,Female
Cachorro,Akita,6,46.3,Male
Cachorro,Samoyed,12,23.2,Male
Cachorro,Weimaraner,2,31.6,Male
Cachorro,Pug,2,7.9,Male
Cachorro,Lhasa Apso,9,5.8,Female
Cachorro,West Highland White Terrier,12,6.6,Female
Cachorro,Alaskan Malamute,8,42.1,Male
Cachorro,French Bulldog,10,9.3,Female
Cachorro,Yorkshire Terrier,12,2.4,Male
Cachorro,Cocker Spaniel,4,9.6,Female
Cachorro,Irish Setter,6,30.1,Male
Cachorro,Labrador Retriever,3,30.6,Female
Cachorro,Papillon,7,2.8,Female
Cachorro,Boston Terrier,13,10.7,Male
Cachorro,Shiba Inu,4,10.7,Male
Cachorro,Akita,14,56.3,Male
Cachorro,Alaskan Malamute,9,35.3,Female
Cachorro,Poodle,14,20.4,Female
Cachorro,Shetland Sheepdog,5,11.5,Male
Cachorro,Maltese,9,3.2,Female
Cachorro,Golden Retriever,1,28.6,Female
Cachorro,Rottweiler,9,47.3,Female
Cachorro,Airedale Terrier,11,23.3,Male
Cachorro,Pembroke Welsh Corgi,5,13.4,Male
Cachorro,Chinese Shar-Pei,1,29.5,Male
Cachorro,Great Dane,6,82.1,Male
Cachorro,Schnauzer,6,15.7,Female
Cachorro,German Shepherd,3,32.3,Female
Cachorro,Pug,5,6.7,Female
Cachorro,Whippet,14,17.7,Male
Cachorro,Miniature Schnauzer,9,8.5,Male
Cachorro,Chihuahua,9,2.2,Female
Cachorro,Shetland Sheepdog,12,7.1,Female
Cachorro,Jack Russell Terrier,5,6.2,Female
Cachorro,Jack Russell Terrier,14,6.3,Female
Cachorro,Poodle,2,28.1,Male
Cachorro,Chesapeake Bay Retriever,9,28.6,Female
Cachorro,West Highland White Terrier,9,7.5,Female
Cachorro,Golden Retriever,9,30.5,Male
Cachorro,Bichon Frise,12,7.6,Male
Cachorro,Basenji,14,10.2,Female
Cachorro,Cocker Spaniel,4,9.9,Female
Cachorro,Australian Shepherd,4,23.7,Female
Cachorro,Rottweiler,13,46.0,Female
Cachorro,Airedale Terrier,3,25.9,Male
Cachorro,Pekingese,13,3.4,Female
Cachorro,Saint Bernard,11,85.3,Male
Cachorro,Chesapeake Bay Retriever,10,35.7,Male
Cachorro,Lhasa Apso,13,7.5,Male
Cachorro,Rottweiler,6,49.9,Female
Cachorro,Pug,8,8.0,Male
Cachorro,Maltese,14,3.2,Female
Cachorro,Poodle,6,29.2,Male
Cachorro,Chinese Shar-Pei,14,25.9,Male
Cachorro,West Highland White Terrier,9,10.0,Male
Cachorro,Cocker Spaniel,8,11.3,Male
Cachorro,Doberman Pinscher,10,31.8,Female
Cachorro,Samoyed,1,24.0,Female
Cachorro,Shiba Inu,3,9.6,Male
Cachorro,Pomeranian,8,3.2,Male
Cachorro,Chesapeake Bay Retriever,4,27.7,Female
Cachorro,Bloodhound,11,44.9,Female
Cachorro,Boxer,13,29.0,Female
Cachorro,Poodle,6,26.6,Male
Cachorro,Siberian Husky,2,21.5,Female
Cachorro,West Highland White Terrier,6,6.9,Female
Cachorro,Pug,2,7.5,Male
Cachorro,Doberman Pinscher,2,34.7,Female
Cachorro,Bulldog,3,24.2,Male
Cachorro,Bernese Mountain Dog,5,39.3,Male
Cachorro,Chihuahua,4,1.7,Female
Cachorro,Samoyed,2,27.4,Male
Cachorro,Dogo Argentino,12,42.2,Male
Cachorro,Doberman Pinscher,10,32.8,Female
Cachorro,Pekingese,2,3.1,Female
Cachorro,Beagle,3,10.1,Female
Cachorro,Great Dane,9,70.3,Female
Cachorro,Dachshund,2,7.2,Female
Cachorro,Poodle,8,23.1,Female
Cachorro,Weimaraner,9,39.5,Male
Cachorro,Weimaraner,3,25.5,Female
Cachorro,Boston Terrier,10,10.0,Male
Cachorro,Whippet,7,12.3,Female
Cachorro,Whippet,6,18.3,Male
Cachorro,Pomeranian,13,3.2,Male
Cachorro,Dogo Argentino,2,44.3,Male
Cachorro,Dachshund,10,10.9,Male
Cachorro,Alaskan Malamute,7,37.1,Female
Cachorro,Cavalier King Charles Spaniel,13,7.6,Male
Cachorro,Chihuahua,13,1.7,Female
Cachorro,Chinese Shar-Pei,10,19.8,Female
Cachorro,Lhasa Apso,12,5.1,Female
Cachorro,German Shepherd,3,33.2,Female
Cachorro,Basenji,6,10.6,Male
Cachorro,Rottweiler,7,54.1,Male
Cachorro,Poodle,12,25.8,Female
Cachorro,Australian Shepherd,14,27.1,Male
Cachorro,Belgian Malinois,2,29.9,Male
Cachorro,Papillon,6,3.8,Male
Cachorro,Shiba Inu,9,9.2,Female
Cachorro,Havanese,5,4.4,Male
Cachorro,Chihuahua,7,2.9,Male
Cachorro,Akita,6,55.7,Male
Cachorro,Pekingese,14,3.8,Female
Cachorro,Chinese Shar-Pei,13,26.7,Male
Cachorro,Bernese Mountain Dog,7,40.8,Male
Cachorro,Dogo Argentino,1,41.3,Female
Cachorro,Bulldog,3,22.1,Female
Cachorro,Labrador Retriever,6,31.6,Female
Cachorro,Border Collie,7,16.5,Male
Cachorro,Boston Terrier,3,7.8,Male
Cachorro,Poodle,10,21.7,Female
Cachorro,Maltese,2,3.1,Female
Cachorro,Doberman Pinscher,5,28.4,Female
Cachorro,Bulldog,9,18.3,Female
Cachorro,Shiba Inu,9,9.9,Female
Cachorro,Rottweiler,4,36.2,Female
Cachorro,Doberman Pinscher,8,34.9,Male
Cachorro,Yorkshire Terrier,11,3.1,Male
Cachorro,Boxer,14,27.6,Female
Cachorro,Weimaraner,3,32.6,Female
Cachorro,Schnauzer,10,18.6,Male
Cachorro,Cavalier King Charles Spaniel,2,6.7,Female
Cachorro,Boxer,11,30.4,Male
Cachorro,Airedale Terrier,12,25.9,Male
Cachorro,Lhasa Apso,2,6.4,Female
Cachorro,Saint Bernard,2,65.2,Female
Cachorro,Shiba Inu,7,9.7,Male
Cachorro,Chihuahua,14,2.0,Female
Cachorro,Havanese,4,4.4,Male
Cachorro,Shiba Inu,14,9.6,Female
Cachorro,Great Dane,7,68.4,Male
Cachorro,Alaskan Malamute,6,38.0,Male
Cachorro,Chesapeake Bay Retriever,5,26.8,Female
Cachorro,Whippet,3,15.4,Female
Cachorro,Irish Setter,8,28.5,Male
Cachorro,Airedale Terrier,9,27.0,Male
Cachorro,Yorkshire Terrier,9,2.7,Female
Cachorro,Vizsla,1,24.0,Male
Cachorro,Golden Retriever,8,29.5,Female
Cachorro,Doberman Pinscher,9,30.6,Female
Cachorro,Australian Shepherd,9,18.3,Female
Cachorro,French Bulldog,8,12.0,Male
Cachorro,Shetland Sheepdog,5,9.5,Female
Cachorro,Lhasa Apso,11,6.6,Male
Cachorro,Whippet,7,14.0,Female
Cachorro,Pekingese,10,3.7,Female
Cachorro,Vizsla,7,27.1,Male
Cachorro,Pomeranian,9,3.0,Male
Cachorro,Miniature Schnauzer,4,8.0,Male
Cachorro,Rottweiler,8,53.9,Male
Cachorro,Rottweiler,9,45.9,Male
Cachorro,Border Collie,5,15.6,Female
Cachorro,Bulldog,3,21.1,Female
Cachorro,Samoyed,4,22.2,Female
Cachorro,Bernese Mountain Dog,1,40.0,Male
Cachorro,Border Collie,5,14.3,Female
Cachorro,Chinese Shar-Pei,9,21.2,Female
Cachorro,Jack Russell Terrier,1,6.1,Female
Cachorro,Cocker Spaniel,12,9.8,Female
Cachorro,Chihuahua,13,1.9,Female
Cachorro,Miniature Schnauzer,11,6.9,Female
Cachorro,Shiba Inu,5,9.5,Male
Cachorro,Bichon Frise,3,6.6,Female
Cachorro,Weimaraner,7,35.6,Male
Cachorro,Bloodhound,3,42.9,Female
Cachorro,Boston Terrier,3,6.8,Female
Cachorro,Airedale Terrier,3,25.7,Male
Cachorro,French Bulldog,13,11.8,Male
Cachorro,Miniature Schnauzer,8,8.8,Male
Cachorro,Shih Tzu,12,5.0,Female
Cachorro,Chinese Shar-Pei,11,22.1,Female
Cachorro,Rottweiler,10,44.8,Female
Cachorro,Schnauzer,11,19.0,Male
Cachorro,Chesapeake Bay Retriever,7,29.4,Male
